date,close,volume,open,high,low
12/12/2017,38.56,9121543,38.24,38.815,38.03
12/11/2017,38.46,9110945,38.05,38.55,37.61
12/8/2017,38.01,9476192,38.41,38.78,37.92
12/7/2017,38.13,16023830,37.83,38.33,37.73
12/6/2017,37.82,14610390,36.71,37.85,36.55
12/5/2017,37.3,15790420,36.04,37.6299,35.81
12/4/2017,36.75,15748860,37.77,38.25,36.66
12/1/2017,37.27,13550240,37.02,37.68,36.54
11/30/2017,37.45,16348800,37.87,38,37.12
11/29/2017,37.83,18198420,38.4,38.61,37.1
11/28/2017,38.57,8234967,38.76,38.96,38.3
11/27/2017,38.66,9573157,39,39.13,38.52
11/24/2017,39.21,7256261,39.72,39.73,39.05
11/22/2017,39.79,9315593,40.2,40.4599,39.45
11/21/2017,39.88,13800560,39.495,40.37,39.495
11/20/2017,39.2,20039560,40.36,40.45,38.9
11/17/2017,40.25,16661900,40.34,40.73,39.95
11/16/2017,40.22,18044880,39.64,40.58,39.34
11/15/2017,39.35,19449030,38.5,39.38,37.79
11/14/2017,38.9,38816610,41,41.05,38.25
11/13/2017,41.34,43595560,41.97,42.77,40.85
11/10/2017,39.96,16799350,39.83,40.4,39.17
11/9/2017,39.8,16887570,40.19,40.22,38.89
11/8/2017,40.33,17086790,39.91,40.83,39.85
11/7/2017,39.79,14530930,39.69,39.9,39.09
11/6/2017,39.01,14477400,39.01,39.18,38.6
11/3/2017,38.42,15399330,38.4,38.61,38.21
11/2/2017,37.88,17666060,38.24,38.67,37.6652
11/1/2017,37.86,15783690,38,38.31,37.72
10/31/2017,37.52,13555550,37.84,38.03,37.275
10/30/2017,37.42,15633950,37.81,37.87,36.94
10/27/2017,37.36,23617840,37.01,37.47,35.79
10/26/2017,36.81,19120120,37.56,37.68,36.71
10/25/2017,37.4,22007460,38.55,38.97,37.13
10/24/2017,38.52,11836300,38.66,38.815,38.46
10/23/2017,38.43,13442140,39.15,39.2,38.33
10/20/2017,39,20217710,39.7,39.75,38.69
10/19/2017,39.38,16244910,39.8,40.18,39.21
10/18/2017,40.32,19057660,40,40.77,39.57
10/17/2017,39.59,12064980,39.95,40.15,39.37
10/16/2017,39.67,19926190,40.14,40.15,38.96
10/13/2017,38.72,13031250,38.71,38.97,38.44
10/12/2017,38.51,14529260,39.6,39.62,38.4401
10/11/2017,39.62,14050650,40.37,40.42,39.52
10/10/2017,40.17,16500670,39.29,40.29,39.1
10/9/2017,38.91,9479723,39.4,39.47,38.69
10/6/2017,39.24,9680201,38.98,39.7187,38.9328
10/5/2017,39.14,11709210,38.62,39.2662,38.21
10/4/2017,38.34,21426970,39.21,39.21,37.61
10/3/2017,39.21,15939750,39.93,40.23,39.1
10/2/2017,39.1,18680840,38.4,39.94,38.3
9/29/2017,38.2,23293870,38.375,38.83,37.82
9/28/2017,38.65,24862560,39.48,39.5,38.21
9/27/2017,39.71,19841380,40.71,40.84,39.33
9/26/2017,40.32,15065030,41.56,41.78,40.11
9/25/2017,40.93,17092740,42.04,42.09,40.47
9/22/2017,42.37,11619880,42.48,42.68,42.16
9/21/2017,42.98,14573190,43.9,43.96,42.41
9/20/2017,44.44,8012776,44.39,44.55,43.715
9/19/2017,44.33,9247356,45,45.0399,43.83
9/18/2017,44.74,11191500,45.45,45.83,44.71
9/15/2017,44.91,16883860,45.585,45.6,44.7
9/14/2017,45.25,12922940,44.84,45.93,44.52
9/13/2017,45.27,20074820,43.45,45.28,43.36
9/12/2017,43.29,14160740,42.36,43.5,41.81
9/11/2017,42.04,10252680,41.71,42.5,41.71
9/8/2017,41.15,7006968,41.76,41.9558,41.07
9/7/2017,41.83,5642755,41.73,42.133,41.57
9/6/2017,41.64,7881048,41.7,42.18,41.135
9/5/2017,41.4,9549241,41.525,41.88,40.97
9/1/2017,41.99,6080333,41.93,42.49,41.68
8/31/2017,41.91,9882140,42.38,42.51,41.397
8/30/2017,41.94,9574624,40.9,42.05,40.895
8/29/2017,40.84,9359818,39.4,41.07,39.33
8/28/2017,40.35,14668610,41,41.1217,39.43
8/25/2017,40.87,15733390,42.04,42.14,40.36
8/24/2017,42.07,13466860,42.81,42.96,41.45
8/23/2017,42.44,14370160,42.13,43.06,41.85
8/22/2017,42.15,15559220,41.87,42.215,41.15
8/21/2017,41.26,17194450,40.4,41.47,40.21
8/18/2017,40.13,19097130,41.06,41.17,39.93
8/17/2017,40.8,30613030,43.04,43.15,40.75
8/16/2017,43.65,14075250,44.47,44.95,43.46
8/15/2017,44.05,18814430,44.94,44.98,43.26
8/14/2017,44.25,36753860,45,45.45,43.06
8/11/2017,45.9,16121370,45.5,46.2134,44.91
8/10/2017,46.09,12348970,47.5,47.85,45.76
8/9/2017,47.84,10066590,47.64,47.88,46.89
8/8/2017,48.15,16047440,47.92,48.99,47.63
8/7/2017,47.56,10426040,46.64,47.95,46.27
8/4/2017,46.4,5770201,45.6,46.415,45.34
8/3/2017,45.3,8275859,45.49,45.73,44.66
8/2/2017,45.25,7935164,45.55,45.75,44.16
8/1/2017,45.55,6137266,45.82,45.91,45.25
7/31/2017,45.17,11461640,45.27,45.9838,44.44
7/28/2017,45.22,8918493,44.7,45.9608,44.2
7/27/2017,45.16,16169200,46.5,46.85,43.88
7/26/2017,45.87,15712460,44.76,46.85,44.6196
7/25/2017,44.46,8473769,43.75,44.73,43.27
7/24/2017,43.54,5838453,43.15,43.68,43.05
7/21/2017,43.08,4152382,43,43.235,42.4
7/20/2017,42.92,5823727,43.26,43.49,42.515
7/19/2017,43.22,12207990,43.4,44.09,42.7707
7/18/2017,42.99,10032690,41.6,43.1,41.34
7/17/2017,41.63,7558345,42.05,42.14,40.97
7/14/2017,42.01,7268722,41.38,42.135,41.175
7/13/2017,41.43,5137832,41.5,41.91,41.01
7/12/2017,41.44,8109609,41.27,41.98,41.2
7/11/2017,40.81,8023998,40.59,41.335,40.32
7/10/2017,40.42,9638066,39.25,40.635,39.21
7/7/2017,39.22,6602039,39.1,39.66,39.1
7/6/2017,39.11,8527039,39.21,39.49,38.71
7/5/2017,39.76,11583160,38.95,39.9201,38.51
7/3/2017,38.86,5713432,39.83,39.83,38.75
6/30/2017,39.22,13270610,39.865,39.95,38.74
6/29/2017,39.5,14941100,41.15,41.19,39.22
6/28/2017,41.28,13711880,41.49,41.52,39.63
6/27/2017,40.69,16060830,42.79,42.95,40.53
6/26/2017,43.08,17091980,43.31,44.18,42.0502
6/23/2017,42.95,15888550,41.3,43.06,41
6/22/2017,41.33,10949740,40.62,41.45,40.6
6/21/2017,41.09,15997430,39.19,41.27,38.95
6/20/2017,38.9,8645640,39.6,39.84,38.75
6/19/2017,39.74,17051980,39.455,40.32,39.35
6/16/2017,38.17,10296080,37.92,38.585,37.73
6/15/2017,38.12,17084990,38.03,38.14,36.77
6/14/2017,38.4,14851480,39.57,39.5745,38.2
6/13/2017,39.27,11061740,39.83,40.14,38.9365
6/12/2017,39.22,18019300,39,39.62,37.98
6/9/2017,39,23275550,42.49,42.51,38.46
6/8/2017,41.92,23888980,43.41,43.8,41.22
6/7/2017,41.18,7186360,40.3,41.43,40.15
6/6/2017,40.18,6317029,40.2,40.55,40.07
6/5/2017,40.32,5542540,40.32,40.53,40.07
6/2/2017,40.23,8712158,40.32,40.37,39.86
6/1/2017,40.29,10061090,40.2,40.47,39.98
5/31/2017,40.03,14495010,40.72,40.79,39.69
5/30/2017,40.79,7109470,41.1,41.1,40.37
5/26/2017,40.99,6779624,40.93,41.1,40.615
5/25/2017,41.02,9737039,41,41.35,40.715
5/24/2017,40.44,10723830,40.86,40.91,39.77
5/23/2017,40.72,11555080,41.96,41.97,40.32
5/22/2017,41.66,11471080,41.61,41.97,41.2
5/19/2017,41.06,12317610,40.47,41.72,40.42
5/18/2017,40.16,12520580,39.025,40.395,38.59
5/17/2017,40.04,10261300,40.2,40.96,39.96
5/16/2017,40.77,14957620,40.28,41,40.23
5/15/2017,40.23,12495820,40.99,41.0118,39.91
5/12/2017,40.56,13922530,39.82,40.72,39.77
5/11/2017,39.76,13037490,39.15,40,38.75
5/10/2017,39.32,16743170,38.55,39.36,38.42
5/9/2017,38.53,16207530,38.84,38.99,38.28
5/8/2017,38.55,31337450,37.88,39.09,37.69
5/5/2017,35.78,9009780,35.5,35.9,35.16
5/4/2017,35.4,10000640,35.26,35.495,34.9578
5/3/2017,35.15,7919572,35.53,35.53,34.51
5/2/2017,35.45,5175240,35.35,35.565,34.87
5/1/2017,35.34,5709770,35.14,35.45,35.02
4/28/2017,35.07,4759564,35.5,35.5,34.73
4/27/2017,35.3,4978996,35.05,35.32,34.97
4/26/2017,34.94,6069918,35.06,35.075,34.8
4/25/2017,34.96,6890004,35,35.07,34.88
4/24/2017,34.57,9595918,34.78,34.94,34.36
4/21/2017,34.35,11713350,34.14,34.725,34
4/20/2017,33.97,7943534,34.04,34.14,33.45
4/19/2017,33.36,10221760,33.16,34,33.1
4/18/2017,32.84,4273453,32.67,33.005,32.55
4/17/2017,32.72,4364846,32.67,33.0899,32.58
4/13/2017,32.47,3018778,32.74,32.87,32.45
4/12/2017,32.71,6817951,32.31,32.88,32.31
4/11/2017,32.3,8053233,32.7,33.281,32.22
4/10/2017,32.67,8303755,32.16,32.92,32.15
4/7/2017,32.01,5623881,32.2,32.25,31.57
4/6/2017,32.23,5814838,31.69,32.26,31.49
4/5/2017,31.53,5352961,31.58,32.06,31.44
4/4/2017,31.44,4915742,31.8,31.89,31.23
4/3/2017,31.92,7934148,31.43,32.1,31.27
3/31/2017,31.11,5974705,31.4,31.56,31.085
3/30/2017,31.56,4907507,31.5,31.89,31.47
3/29/2017,31.58,3152526,31.5,31.67,31.425
3/28/2017,31.46,5861145,31.33,32,31.21
3/27/2017,31.38,4041950,31,31.55,30.76
3/24/2017,31.26,5795415,31.42,31.84,31.1
3/23/2017,31.29,8924209,30.85,31.35,30.61
3/22/2017,30.58,6722880,30.18,30.61,29.88
3/21/2017,30.32,9312647,31.88,31.93,30.14
3/20/2017,31.72,4228496,31.57,31.87,31.54
3/17/2017,31.56,6465085,31.77,31.77,31.34
3/16/2017,31.54,6352360,31.87,32.21,31.44
3/15/2017,31.38,4334880,31.35,31.53,31.08
3/14/2017,31.37,4364713,31.46,31.59,31.11
3/13/2017,31.69,6473355,31.27,31.82,31.15
3/10/2017,31.06,5970093,31.35,31.55,30.945
3/9/2017,31.2,5527440,31.15,31.51,30.96
3/8/2017,31.34,8223636,30.61,31.64,30.6
3/7/2017,30.75,7457389,30.2,30.94,29.96
3/6/2017,30.41,8109569,30.97,30.98,30.24
3/3/2017,30.93,9198534,31.32,31.58,30.87
3/2/2017,30.93,22174230,31.74,32.47,30.48
3/1/2017,30.67,7920719,30.83,30.99,30.56
2/28/2017,30.57,8639265,30.97,31.16,30.36
2/27/2017,30.8,5946160,30.3,30.91,30.25
2/24/2017,30.27,4641317,30.5,30.52,30.03
2/23/2017,30.61,9921265,30.75,30.88,30.23
2/22/2017,30.47,6604136,30.27,30.67,30.1
2/21/2017,30.23,5131289,30,30.285,29.81
2/17/2017,29.85,7080140,29.57,30.27,29.51
2/16/2017,30.23,7694667,30.32,30.57,30.03
2/15/2017,30.14,7996511,29.5,30.25,29.4
2/14/2017,29.43,3330771,29.48,29.74,29.28
2/13/2017,29.52,6083086,29.52,29.65,29.105
2/10/2017,29.38,4491403,29.21,29.525,29.01
2/9/2017,29.01,6234499,28.96,29.2,28.76
2/8/2017,28.98,3758066,28.81,29.06,28.63
2/7/2017,28.81,4820219,28.66,28.94,28.46
2/6/2017,28.54,3919197,28.64,28.8,28.35
2/3/2017,28.32,3670480,28.28,28.4,28.08
2/2/2017,28.17,4403282,28,28.21,27.88
2/1/2017,28.13,4109167,28.59,28.59,28.02
1/31/2017,28.4,4381626,28.32,28.46,28.01
1/30/2017,28.56,3595482,28.17,28.64,28.06
1/27/2017,28.36,3106833,28.35,28.5,28.12
1/26/2017,28.32,6034303,28.8,28.8,28.18
1/25/2017,28.59,7459979,28.77,28.84,28.3538
1/24/2017,28.54,13821870,28.5,28.91,28.22
1/23/2017,28.18,9950532,27.5,28.27,27.46
1/20/2017,27.6,7111248,27.96,28.14,27.54
1/19/2017,27.75,10272180,27.3,27.84,27.13
1/18/2017,27.16,5974193,27.34,27.5,26.86
1/17/2017,27.21,7705325,26.82,27.65,26.71
1/13/2017,26.84,5926207,26.77,26.9,26.52
1/12/2017,26.61,4867276,26.83,26.83,26.48
1/11/2017,26.77,5497474,26.76,27.18,26.445
1/10/2017,26.9,20416880,26.3,27.1,26.25
1/9/2017,26.26,8072075,26.64,26.95,26.14
1/6/2017,26.27,6221081,26.3,26.41,25.92
1/5/2017,26.3,10178460,26.15,26.8,26.05
1/4/2017,25.85,7842936,26.05,26.085,25.585
1/3/2017,25.82,8232963,25.95,26.11,25.64
12/30/2016,25.44,3531505,25.68,25.84,25.285
12/29/2016,25.64,3361467,25.76,25.9115,25.56
12/28/2016,25.74,2865924,26.09,26.195,25.61
12/27/2016,25.93,5188205,25.52,26.21,25.455
12/23/2016,25.49,5616297,25.51,25.85,25.34
12/22/2016,25.62,4416247,25.86,25.9,25.49
12/21/2016,25.88,3901351,25.42,25.96,25.42
12/20/2016,25.52,4920789,25.72,25.72,25.31
12/19/2016,25.38,4807946,25.6,25.64,25.25
12/16/2016,25.61,7772815,25.73,26.16,25.57
12/15/2016,25.77,9720949,26.74,26.74,25.58
12/14/2016,26.95,10953530,26.69,27.38,26.51
12/13/2016,26.66,7137258,26.31,26.92,25.92
12/12/2016,26.16,6363298,26.38,26.62,25.82
12/9/2016,26.84,7880835,26.87,26.97,26.265
12/8/2016,26.97,8041678,26.99,27.2,26.69
12/7/2016,26.98,17786710,25.76,27.19,25.72
12/6/2016,25.83,4675218,26.09,26.26,25.77
12/5/2016,25.95,7500154,25.86,26.315,25.58
12/2/2016,25.88,9466938,26.32,26.45,25.72
12/1/2016,26.3,11124460,26.79,26.95,26.18
11/30/2016,26.87,15082720,26.85,27.4,26.665
11/29/2016,26.85,29889550,25.84,27.7,25.75
11/28/2016,25.83,9668378,25.56,25.945,25.5399
11/25/2016,25.54,6497668,25.89,25.99,25.43
11/23/2016,25.74,5930170,25.76,25.95,25.65
11/22/2016,25.81,7103361,26,26.135,25.64
11/21/2016,26,7463761,26.5,26.5601,25.89
11/18/2016,26.45,5630787,26.75,26.89,26.255
11/17/2016,26.75,8590293,26.5,26.93,26.33
11/16/2016,26.51,9381635,25.62,26.6,25.62
11/15/2016,26.41,38331060,25.69,26.96,25.29
11/14/2016,23.71,15580140,24.23,24.23,23.375
11/11/2016,24.04,12219740,24.25,24.52,23.68
11/10/2016,24.39,10140900,25.5,25.5,23.88
11/9/2016,25.13,6505396,24.6,25.58,24.6
11/8/2016,25.44,6738788,25.51,25.55,25.015
11/7/2016,25.46,8150094,25.18,25.715,25
11/4/2016,24.65,6955440,24.57,24.77,24.31
11/3/2016,24.67,6655144,24.54,25.05,24.51
11/2/2016,24.74,14148550,25.44,25.5,24.37
11/1/2016,25.31,9235626,25.9,26.04,25.18
10/31/2016,25.95,5344374,26.03,26.44,25.93
10/28/2016,25.9,8031905,25.7,26.05,25.38
10/27/2016,25.88,9052465,26.59,26.68,25.73
10/26/2016,26.48,4686801,26.32,26.57,26.14
10/25/2016,26.42,4890198,26.55,26.69,26.25
10/24/2016,26.5,11699350,27,27.12,26.09
10/21/2016,26.87,5321539,26.61,26.9,26.58
10/20/2016,26.65,8357358,26.17,26.855,26.17
10/19/2016,26.3,6041417,26.36,26.58,26.09
10/18/2016,26.26,5730624,26.78,26.79,26.2
10/17/2016,26.31,5581126,26.3,26.84,26.14
10/14/2016,26.5,7042580,26.72,26.78,26.27
10/13/2016,26.27,13972230,26.15,26.27,25.53
10/12/2016,26.59,8216175,26.61,26.82,26.34
10/11/2016,26.75,7146104,27.24,27.405,26.58
10/10/2016,27.3,7988785,27.04,27.51,26.77
10/7/2016,27.03,9587087,27.4,27.5,26.8
10/6/2016,27.4,15625400,28.45,28.53,26.96
10/5/2016,27.93,23484940,27.59,28.09,27.28
10/4/2016,27.49,29475930,26.15,29.235,26.125
10/3/2016,26.11,9293766,26.03,26.13,25.7
9/30/2016,26.09,6534927,26.01,26.32,25.92
9/29/2016,25.98,16217580,26.22,26.48,25.8
9/28/2016,26.29,9453586,26.64,26.87,26.01
9/27/2016,26.68,12230890,26.6,27.29,26.55
9/26/2016,26.54,11145090,26.54,26.61,26.35
9/23/2016,26.84,12991550,26.32,26.99,26.18
9/22/2016,26.3,17209040,26,26.4,25.86
9/21/2016,25.88,12865010,25.94,26.03,25.54
9/20/2016,25.85,8860644,25.88,26.16,25.68
9/19/2016,26.05,8575085,26.34,26.48,25.93
9/16/2016,26.23,11369990,26.23,26.55,26.01
9/15/2016,26.13,12176150,26,26.13,25.62
9/14/2016,26.01,16713280,26.59,26.69,25.71
9/13/2016,26.53,10895130,26.22,26.575,26.11
9/12/2016,26.5,12456450,25.6,26.575,25.55
9/9/2016,26.37,13864040,26.86,26.95,26.34
9/8/2016,26.86,8676151,26.6,27.08,26.55
9/7/2016,26.55,9256052,26.57,26.78,26.48
9/6/2016,26.54,18270290,25.72,27,25.72
9/2/2016,25.55,9813716,25.9,26.07,25.52
9/1/2016,25.71,5557419,25.41,25.73,25.33
8/31/2016,25.41,10211400,25.5,25.695,25.2
8/30/2016,25.59,6171656,25.71,25.95,25.495
8/29/2016,25.61,5313360,25.85,25.85,25.47
8/26/2016,25.79,9557962,25.46,25.99,25.42
8/25/2016,25.42,9101223,25.4,25.7,25.295
8/24/2016,25.56,9632542,25.97,26.08,25.51
8/23/2016,25.94,8980175,25.81,26.3,25.785
8/22/2016,25.77,7809738,25.95,25.99,25.52
8/19/2016,25.91,20549000,26.15,26.2,25.7
8/18/2016,25.4,10071250,25.34,25.52,25.12
8/17/2016,25.39,12083340,24.9,25.44,24.8
8/16/2016,25.02,13694980,25.57,25.58,24.75
8/15/2016,25.32,16610640,24.86,25.62,24.85
8/12/2016,24.65,27804140,23.27,24.89,22.93
8/11/2016,23.29,17637230,23.65,24,23.07
8/10/2016,23.41,33711860,24.11,24.6,23.26
8/9/2016,22.37,19974500,22.36,22.69,22.05
8/8/2016,22.35,11741600,21.82,22.37,21.55
8/5/2016,21.85,8360265,21.5,22.1725,21.29
8/4/2016,21.37,9709274,21.65,21.73,21.22
8/3/2016,21.73,6009109,21.65,21.78,21.51
8/2/2016,21.8,5044948,21.86,21.98,21.56
8/1/2016,21.84,7040812,21.69,22.13,21.66
7/29/2016,21.65,8820690,22.11,22.13,21.55
7/28/2016,22.14,5435626,22.2,22.27,21.97
7/27/2016,22.36,5465326,22.5,22.64,22.2
7/26/2016,22.48,10487090,21.85,22.65,21.74
7/25/2016,21.85,4859423,22,22.02,21.51
7/22/2016,21.92,7021829,22.06,22.06,21.65
7/21/2016,21.99,12056340,22.87,22.87,21.94
7/20/2016,22.66,12062490,22.52,22.9,22.32
7/19/2016,22.42,11323700,21.85,22.6,21.85
7/18/2016,22.14,10226430,21.4,22.35,21.4
7/15/2016,21.41,6554867,21.73,21.78,21.31
7/14/2016,21.68,8904153,21.95,21.98,21.63
7/13/2016,21.68,9887433,22.2,22.3,21.51
7/12/2016,22.21,12984620,22.14,22.3,21.87
7/11/2016,21.76,17041140,20.88,22.01,20.85
7/8/2016,20.72,9715058,20.61,20.73,20.34
7/7/2016,20.57,6776043,20.46,20.665,20.31
7/6/2016,20.38,13668470,20.55,20.64,20.035
7/5/2016,20.86,10696590,21.18,21.3,20.4
7/1/2016,21.31,8287993,21.23,21.5,20.98
6/30/2016,21.23,14122040,20.39,21.34,20.3399
6/29/2016,20.39,11705740,20.48,20.823,20.305
6/28/2016,20.32,14641720,20.53,20.99,20.175
6/27/2016,20.24,11272860,20.54,20.65,19.909
6/24/2016,20.64,23649020,20.39,21.25,20.25
6/23/2016,21.46,6162237,21.42,21.51,21.04
6/22/2016,21.2,15244850,21.12,21.52,20.77
6/21/2016,21.13,11876100,21.37,21.48,20.91
6/20/2016,21.06,28216680,20.68,22.04,20.6
6/17/2016,20.13,14205100,20.51,20.56,19.85
6/16/2016,20.43,26101930,19.95,20.51,19.51
6/15/2016,20.17,19721790,21,21,19.91
6/14/2016,20.9,15174960,21.06,21.14,20.38
6/13/2016,20.99,9698173,20.95,21.28,20.8
6/10/2016,21.06,13279590,21.4,21.53,20.885
6/9/2016,21.71,20337960,21.07,21.82,20.82
6/8/2016,21.24,27699220,22.2,22.27,21.21
6/7/2016,22.01,35778540,23.51,23.54,21.71
6/6/2016,23.32,9133421,23.16,23.505,23.12
6/3/2016,22.98,13131920,23.71,23.9,22.85
6/2/2016,23.66,11889330,24,24.22,23.445
6/1/2016,23.79,17695290,24.35,24.37,23.68
5/31/2016,24.61,95370700,24.57,25,24.17
5/27/2016,24.25,16104180,23.32,24.28,23.18
5/26/2016,23.17,12485520,23.31,23.39,22.86
5/25/2016,22.98,18156070,23.8,23.9,22.805
5/24/2016,23.79,17843250,23.19,24.04,23.01
5/23/2016,22.89,8443086,23.41,23.46,22.8
5/20/2016,23.45,11508740,23.18,23.91,23.18
5/19/2016,23.11,12931410,23.35,23.94,22.84
5/18/2016,23.6,12681750,23.74,23.93,23.31
